Nom,Rôle,Biographie,URL,Type,Image,Speciality
Hector PILLOT,"Rédaction & Responsable de publication",,https://linktr.ee/hectorpillot,comite,https://images.ctfassets.net/96vmxa32pfll/4beJdT0bWONuvIHy1remNT/dd1cfe933498335bbff4eb1eb2594d36/1727968040131.jpg,Physique
Alex Blin,"Relecture",,https://www.linkedin.com/in/alexandrablin1/,comite,
Amaëline,"Poésie et Podcast",,https://linktr.ee/amaeline,comite,https://images.ctfassets.net/96vmxa32pfll/3E82EaAvyUDCKsc1n20O4s/2ecba41cc10942cc109acd39c3273597/er_adamson-aurora-borealis-5312889_1920.jpg
Charley Gay,"Rédaction & Relecture",,https://www.linkedin.com/in/charleygay,membre_projet,,Astrophysique
Emy Crayonne,"Poésie, Rédaction & Illustration",,https://www.instagram.com/emy_crayonne,comite,https://images.ctfassets.net/96vmxa32pfll/2T1Rpzx6GwgsJLqDEpUKGc/6fd1eda0edd9ea28f9b294ce885334bf/06082019-IMG_8716_-_Copie.jpg,"Biologie, Geologie"
Léo Duchêne,"Rédaction, Relecture & Photographie",,https://linktr.ee/leo_astro,comite,
Pierre Gachod,"Relecture & Mise en page",,,comite,,Biologie
Isaora Bacquet,Saison 1,,https://www.linkedin.com/in/isaora-bacquet-a62188195/,ancien_membre,
Mathis Philippe,Saison 1,,https://www.linkedin.com/in/mathis-philippe-7a9844329/,ancien_membre,https://images.ctfassets.net/96vmxa32pfll/5WMM6uzdqxIJ145gWl0Yom/ae08835094eff1620cbc6c7bb169e89a/moi.jpg
Quentin Daveau,"Rédaction & Relecture",,,membre_projet,https://images.ctfassets.net/96vmxa32pfll/1cEHbqufafBsEuTPKklbd9/fc4fc859a5ec1b391dac8bb3e7e5365d/DSC0103.jpg,"SHS,Astrophysique"
Léo Bosse, Rédaction de sudoku,,https://logic-masters.de/Raetselportal/Benutzer/eingestellt.php?name=Azireo,membre_projet,https://images.ctfassets.net/96vmxa32pfll/1TOF8oxi1kglD1bGimJsU1/0e0e84869477a5212a48ffe8ed9c5a76/IMG_20190130_103021.jpg,Astrophysique
Alexandre Gros, Photographie & Rédaction,,,membre_projet,https://images.ctfassets.net/96vmxa32pfll/1UumhzW22s3J7iV2DQv24c/2b52b460bc83f949e9dc5de38877b1ff/01.png,Biologie
Ninon Strohmeyer, Rédaction & Illustration,,https://linktr.ee/Ninoutak,membre_projet,https://images.ctfassets.net/96vmxa32pfll/38ED30l7MhTaptRkK70B3Q/37f4a75db398ff33cbdb67bcce9d4349/Ecrins_001_1.jpg,Biologie
Jaja, Saison 1,,https://www.instagram.com/jaja._.k/,ancien_membre,
Galanne Cestre-Lambert, Rédaction & Illustration,,,membre_projet,,
